module,user_id,completion_percentage,last_updated,compliance_score
segregation,46,81.73,2023-10-02 00:00:00,83.55
inward,97,51.43,2023-10-18 00:00:00,95.04
segregation,99,75.75,2023-08-11 00:00:00,70.56
dispatch,22,78.58,2024-01-16 00:00:00,95.84
baling,37,53.56,2023-02-15 00:00:00,97.92
inward,48,78.64,2023-02-03 00:00:00,84.88
dispatch,77,80.38,2023-11-27 00:00:00,94.43
inward,11,67.43,2024-03-07 00:00:00,73.33
inward,94,98.56,2023-07-21 00:00:00,95.87
segregation,33,86.57,2023-07-28 00:00:00,79.83
segregation,27,75.75,2023-07-26 00:00:00,81.18
baling,91,93.79,2023-07-11 00:00:00,93.83
inward,96,91.3,2023-08-21 00:00:00,92.89
dispatch,78,63.25,2023-10-24 00:00:00,79.5
baling,60,99.6,2024-03-03 00:00:00,73.05
segregation,60,53.37,2023-01-07 00:00:00,77.55
inward,42,93.15,2023-10-10 00:00:00,78.82
baling,45,90.54,2023-06-09 00:00:00,74.24
inward,93,74.24,2023-10-03 00:00:00,91.77
segregation,40,87.37,2023-07-01 00:00:00,91.91
inward,44,84.6,2024-03-11 00:00:00,87.56
dispatch,30,71.32,2023-02-15 00:00:00,75.97
dispatch,77,77.54,2024-02-05 00:00:00,70.12
inward,34,75.25,2023-09-22 00:00:00,74.62
dispatch,33,71.7,2024-02-14 00:00:00,98.32
dispatch,57,92.17,2023-08-17 00:00:00,85.14
segregation,100,92.85,2023-10-26 00:00:00,81.65
dispatch,24,66.57,2024-02-11 00:00:00,76.39
inward,61,92.38,2023-10-10 00:00:00,81.6
segregation,13,85.38,2023-11-02 00:00:00,97.13
dispatch,23,85.92,2023-12-17 00:00:00,97.97
baling,83,95.45,2023-04-26 00:00:00,70.18
baling,2,99.63,2023-01-12 00:00:00,96.91
dispatch,37,65.84,2023-12-03 00:00:00,83.67
segregation,52,59.88,2023-05-12 00:00:00,95.24
segregation,38,66.14,2023-01-08 00:00:00,71.61
segregation,28,94.67,2023-04-06 00:00:00,91.2
baling,67,81.87,2023-02-11 00:00:00,70.04
dispatch,7,54.85,2023-03-08 00:00:00,99.52
dispatch,12,91.81,2023-04-10 00:00:00,89.43
segregation,48,82.29,2023-12-25 00:00:00,99.05
segregation,50,84.09,2024-02-05 00:00:00,75.62
inward,77,85.57,2023-04-28 00:00:00,93.43
inward,94,82.13,2023-07-02 00:00:00,89.6
dispatch,17,52.75,2023-01-03 00:00:00,79.97
dispatch,79,84.75,2023-05-27 00:00:00,88.63
dispatch,28,76.77,2023-09-06 00:00:00,83.91
baling,25,98.72,2023-12-29 00:00:00,75.47
segregation,56,87.71,2023-07-16 00:00:00,77.42
segregation,68,54.26,2023-05-21 00:00:00,98.07
inward,35,89.8,2023-09-29 00:00:00,86.31
dispatch,79,71.3,2024-03-08 00:00:00,91.69
segregation,74,93.44,2023-09-10 00:00:00,80.02
inward,29,94.9,2023-01-03 00:00:00,96.64
baling,92,88.55,2023-08-15 00:00:00,70.83
dispatch,92,60.05,2023-01-14 00:00:00,72.15
inward,37,51.08,2023-04-15 00:00:00,94.15
baling,55,84.28,2024-02-26 00:00:00,93.64
inward,55,86.09,2023-08-28 00:00:00,95.77
inward,42,64.25,2024-02-24 00:00:00,83.52
inward,9,55.27,2023-10-07 00:00:00,70.79
inward,44,68.58,2023-05-05 00:00:00,91.33
baling,57,54.47,2023-09-07 00:00:00,94.05
baling,28,95.66,2023-11-13 00:00:00,87.56
dispatch,73,57.19,2023-06-12 00:00:00,86.28
segregation,10,91.87,2023-04-05 00:00:00,94.33
baling,11,81.84,2023-05-22 00:00:00,76.75
segregation,92,53.82,2023-08-03 00:00:00,73.37
inward,62,76.04,2024-02-11 00:00:00,98.14
inward,23,55.3,2023-05-12 00:00:00,88.16
inward,94,91.33,2023-01-13 00:00:00,79.01
dispatch,38,83.03,2024-01-09 00:00:00,88.89
segregation,86,83,2023-05-27 00:00:00,86
segregation,95,99.26,2023-09-06 00:00:00,87.37
inward,41,94.39,2023-02-28 00:00:00,75.89
inward,76,66.59,2024-03-03 00:00:00,84.11
inward,36,98.68,2023-01-19 00:00:00,94.83
dispatch,53,57.2,2023-08-25 00:00:00,95.6
segregation,65,83.77,2024-01-10 00:00:00,93.71
segregation,46,90.85,2023-01-19 00:00:00,88.33
baling,57,66.81,2023-11-01 00:00:00,86.18
baling,61,90.77,2023-08-23 00:00:00,97.46
dispatch,6,87.74,2023-08-20 00:00:00,80.66
baling,62,68.78,2024-01-31 00:00:00,92.68
dispatch,72,61.05,2023-08-20 00:00:00,94.28
baling,9,69.76,2023-06-01 00:00:00,71.38
baling,73,66.28,2023-03-13 00:00:00,85.38
segregation,16,62.45,2023-03-12 00:00:00,94.95
segregation,72,81.39,2023-05-11 00:00:00,85.2
baling,20,86.95,2024-03-14 00:00:00,84.71
dispatch,25,95.96,2024-01-10 00:00:00,94.12
dispatch,37,78.37,2023-06-18 00:00:00,75.63
baling,51,52.08,2023-12-03 00:00:00,90.27
segregation,61,79.27,2023-10-26 00:00:00,81.95
dispatch,13,84.28,2023-12-02 00:00:00,95.92
segregation,15,69.2,2023-06-30 00:00:00,73.89
baling,34,70.84,2024-03-11 00:00:00,83.81
segregation,28,59.62,2024-02-15 00:00:00,80.34
dispatch,68,79.92,2023-01-14 00:00:00,89.4
baling,32,71.57,2023-06-28 00:00:00,89.07
baling,80,72.61,2024-03-14 00:00:00,82.81
baling,10,63.16,2023-05-08 00:00:00,96.19
segregation,93,62.64,2023-08-26 00:00:00,74.06
dispatch,84,59.23,2023-11-18 00:00:00,81.33
dispatch,58,89.06,2023-10-20 00:00:00,83.6
dispatch,57,82.74,2023-10-21 00:00:00,96.47
segregation,20,79.76,2023-03-15 00:00:00,78.12
baling,86,71.16,2023-11-15 00:00:00,79.91
baling,10,84.57,2023-08-24 00:00:00,89.71
segregation,87,96.05,2023-02-14 00:00:00,70.47
dispatch,1,79.64,2023-07-16 00:00:00,87.39
segregation,78,80.95,2023-01-22 00:00:00,94.21
dispatch,73,55.52,2023-05-14 00:00:00,90.84
dispatch,19,55.54,2023-09-11 00:00:00,73.8
segregation,80,98.49,2023-10-25 00:00:00,73.94
dispatch,38,53.2,2023-12-14 00:00:00,85.57
dispatch,94,56.72,2023-10-25 00:00:00,75.05
dispatch,90,86.78,2023-08-12 00:00:00,88.6
dispatch,37,55.61,2023-11-06 00:00:00,75.35
dispatch,25,64.3,2024-01-15 00:00:00,85.4
segregation,91,89.29,2023-07-08 00:00:00,79.76
segregation,42,50.38,2023-01-16 00:00:00,73.88
segregation,32,53.68,2023-11-05 00:00:00,90.42
baling,76,97.31,2023-04-24 00:00:00,71.14
inward,88,71.81,2023-05-31 00:00:00,71.57
segregation,50,81.19,2023-08-28 00:00:00,94.53
dispatch,47,88.16,2023-01-09 00:00:00,70.28
inward,58,72.49,2023-10-29 00:00:00,72.37
segregation,26,71.52,2023-04-19 00:00:00,74.34
segregation,65,62.08,2023-05-03 00:00:00,83.05
dispatch,72,96.27,2023-12-16 00:00:00,94.56
segregation,77,95.34,2023-12-19 00:00:00,99.73
inward,95,63.74,2023-10-29 00:00:00,94.46
dispatch,47,52.77,2023-07-26 00:00:00,89.84
dispatch,75,73.42,2023-10-17 00:00:00,91.82
dispatch,80,65.38,2024-02-07 00:00:00,83.05
dispatch,14,57.94,2023-12-12 00:00:00,81.68
segregation,84,59.05,2023-05-02 00:00:00,74.94
inward,67,88.46,2023-11-08 00:00:00,70.81
segregation,7,95.97,2024-03-02 00:00:00,75.83
segregation,89,92.31,2023-09-30 00:00:00,71.8
dispatch,32,76.14,2023-03-29 00:00:00,86.94
dispatch,82,93.47,2023-09-17 00:00:00,72.61
dispatch,16,82.96,2023-07-28 00:00:00,82.02
inward,98,79.09,2024-01-25 00:00:00,83.64
dispatch,99,83.27,2023-01-18 00:00:00,75.61
inward,11,65.57,2023-07-04 00:00:00,85.53
dispatch,42,69.1,2024-02-13 00:00:00,79.78
dispatch,79,88.27,2023-05-14 00:00:00,87.13
dispatch,66,71.37,2024-03-23 00:00:00,77.36
baling,86,77.92,2023-03-19 00:00:00,70.57
dispatch,31,54.48,2023-01-14 00:00:00,91.73
inward,42,53.61,2023-07-07 00:00:00,93.28
dispatch,74,81.56,2023-09-06 00:00:00,75.6
baling,28,56.77,2023-10-12 00:00:00,98.91
segregation,91,96.85,2023-05-30 00:00:00,81.17
baling,16,85.57,2024-02-05 00:00:00,87.4
segregation,77,80.19,2023-09-11 00:00:00,83.87
baling,86,76.74,2023-06-28 00:00:00,81.62
inward,2,62.69,2023-10-10 00:00:00,91.85
segregation,97,82.32,2023-05-15 00:00:00,81.09
dispatch,32,79.18,2023-02-26 00:00:00,86.57
segregation,18,68.16,2024-02-12 00:00:00,76.59
baling,19,59.97,2023-04-11 00:00:00,91.25
baling,92,61.58,2023-05-12 00:00:00,93.66
segregation,49,70.37,2023-03-13 00:00:00,99.01
baling,4,89.95,2023-02-06 00:00:00,98.84
segregation,49,50.95,2023-05-24 00:00:00,81.6
inward,100,97.94,2023-08-25 00:00:00,95.64
segregation,55,72.62,2024-02-25 00:00:00,93.81
segregation,45,80.99,2024-01-19 00:00:00,91.01
segregation,68,69.44,2023-02-24 00:00:00,87.35
baling,80,98.49,2023-11-03 00:00:00,91.23
dispatch,57,67.83,2023-02-09 00:00:00,73.03
dispatch,78,87.97,2023-02-21 00:00:00,83.74
inward,59,85.49,2024-01-14 00:00:00,99.41
inward,89,66.91,2023-05-17 00:00:00,71.46
dispatch,53,66.31,2023-04-11 00:00:00,71.83
segregation,48,79.25,2023-09-21 00:00:00,89.92
segregation,14,58.08,2023-01-02 00:00:00,74.98
dispatch,82,80.39,2023-11-28 00:00:00,94.92
segregation,63,65.34,2023-04-26 00:00:00,84.23
dispatch,8,88.08,2023-09-04 00:00:00,94.74
baling,74,80.79,2023-01-12 00:00:00,89.49
dispatch,23,57.4,2023-12-26 00:00:00,84.95
dispatch,25,63.78,2023-08-10 00:00:00,84.56
baling,98,52.43,2023-10-08 00:00:00,80.13
baling,27,88.4,2023-07-15 00:00:00,97.55
segregation,100,64.97,2024-02-16 00:00:00,95.42
dispatch,59,72.24,2024-02-20 00:00:00,93.23
inward,18,74.16,2023-11-27 00:00:00,76.45
inward,96,93.23,2024-03-16 00:00:00,82.1
inward,15,51.34,2023-02-17 00:00:00,81.95
segregation,90,58.34,2023-03-29 00:00:00,90.47
baling,96,70.88,2023-01-11 00:00:00,84.82
inward,53,98.1,2024-03-08 00:00:00,79.43
inward,19,85.27,2023-12-25 00:00:00,89.14
dispatch,37,81.21,2024-03-17 00:00:00,95.63
dispatch,100,52.45,2023-03-25 00:00:00,80.19
dispatch,5,68.25,2024-02-01 00:00:00,74.15
inward,57,76.76,2023-10-16 00:00:00,70.22
baling,82,91.85,2023-04-26 00:00:00,86.06
segregation,26,91.59,2023-03-29 00:00:00,90.2
inward,38,67.35,2023-05-27 00:00:00,99.81
baling,36,61.35,2023-07-20 00:00:00,81.26
inward,54,96.8,2023-01-11 00:00:00,87.2
dispatch,19,83.61,2023-08-02 00:00:00,93.25
segregation,26,80.46,2023-04-22 00:00:00,98.96
segregation,69,83.42,2023-12-07 00:00:00,79.12
segregation,92,68.62,2023-12-17 00:00:00,70.38
dispatch,42,62.88,2023-10-17 00:00:00,96.63
segregation,38,62.99,2024-03-13 00:00:00,70.04
baling,60,70.03,2024-01-06 00:00:00,95.04
inward,65,76.85,2023-05-06 00:00:00,75.56
segregation,21,75.94,2023-06-14 00:00:00,91.26
baling,47,84.56,2023-12-19 00:00:00,95.6
inward,75,66.15,2023-01-10 00:00:00,72.95
inward,88,61.49,2023-07-31 00:00:00,88.56
dispatch,17,69.71,2023-08-06 00:00:00,78.61
inward,84,61.21,2023-09-23 00:00:00,87.44
inward,28,68.52,2023-04-01 00:00:00,92.5
baling,24,98.32,2024-01-13 00:00:00,75.99
baling,73,94.67,2024-01-27 00:00:00,98.57
inward,8,67.91,2023-12-25 00:00:00,91.15
inward,47,50.91,2023-11-25 00:00:00,97.72
dispatch,35,63.11,2023-06-27 00:00:00,91.49
inward,46,74.5,2023-08-02 00:00:00,87.82
segregation,9,88.68,2023-11-04 00:00:00,98.42
inward,73,76.94,2023-05-15 00:00:00,79.06
segregation,85,50.68,2023-01-16 00:00:00,73.08
baling,80,89.98,2023-11-10 00:00:00,73.56
baling,75,92.85,2023-08-23 00:00:00,86.74
dispatch,1,75.88,2024-03-12 00:00:00,80.32
inward,82,71.2,2023-02-21 00:00:00,79.96
inward,25,88.65,2023-09-30 00:00:00,85.55
segregation,36,54.65,2023-10-08 00:00:00,85.62
segregation,54,79.58,2023-10-24 00:00:00,94.88
baling,3,97.17,2023-04-26 00:00:00,79.46
segregation,63,65.67,2023-12-30 00:00:00,84.74
baling,92,83.73,2023-09-22 00:00:00,98.17
dispatch,6,54.42,2023-05-22 00:00:00,79.95
baling,51,54.24,2023-04-10 00:00:00,73.91
segregation,39,50.52,2023-11-02 00:00:00,74.56
inward,1,98.12,2023-06-07 00:00:00,83.46
segregation,9,73.5,2023-07-18 00:00:00,73.61
segregation,50,87.5,2023-05-18 00:00:00,84.53
baling,6,51.77,2024-03-06 00:00:00,91.02
segregation,80,51.14,2023-02-14 00:00:00,89.25
baling,92,95.13,2023-11-14 00:00:00,73
inward,72,74.39,2023-04-06 00:00:00,71.24
dispatch,85,76.02,2024-02-23 00:00:00,82.84
baling,14,68.49,2023-06-09 00:00:00,84.76
dispatch,16,70.41,2023-11-15 00:00:00,93.73
inward,90,92.69,2023-03-02 00:00:00,98.87
dispatch,95,63.11,2024-02-01 00:00:00,87.75
segregation,42,51.76,2023-03-02 00:00:00,75.98
segregation,92,76.59,2024-02-04 00:00:00,85.56
inward,48,66.63,2023-01-26 00:00:00,74.81
segregation,56,75.87,2023-07-05 00:00:00,81.34
dispatch,61,61.69,2023-03-25 00:00:00,70.23
inward,32,94.57,2023-09-27 00:00:00,71.02
segregation,81,90.37,2024-02-16 00:00:00,94.22
segregation,22,86.05,2023-04-27 00:00:00,72.52
inward,70,65.31,2024-02-12 00:00:00,97.56
segregation,36,96.29,2024-01-31 00:00:00,85.94
inward,38,66.92,2023-06-30 00:00:00,80.45
segregation,61,77.77,2023-01-05 00:00:00,95.26
baling,44,85.32,2023-11-23 00:00:00,90.54
dispatch,22,51.29,2023-09-15 00:00:00,81
baling,52,68.76,2024-03-06 00:00:00,99.27
segregation,79,94.42,2023-12-21 00:00:00,88.14
inward,3,63.28,2023-06-13 00:00:00,82.58
baling,63,64.89,2024-02-20 00:00:00,94.08
segregation,45,63.87,2023-11-25 00:00:00,91.89
segregation,13,85.79,2023-11-15 00:00:00,83.7
baling,12,60.72,2023-09-29 00:00:00,80.59
segregation,81,69.98,2023-11-26 00:00:00,80.45
segregation,44,56.7,2023-11-06 00:00:00,79.09
inward,49,64.93,2023-06-03 00:00:00,77.81
segregation,68,70.85,2023-10-28 00:00:00,78.11
dispatch,57,50.44,2023-07-14 00:00:00,98.88
baling,74,83.67,2023-05-21 00:00:00,89.17
segregation,99,90.39,2023-10-28 00:00:00,74.3
baling,27,97.1,2024-03-09 00:00:00,75.86
dispatch,52,53.14,2023-02-23 00:00:00,98.62
baling,7,81.17,2023-08-07 00:00:00,80.81
inward,80,90.25,2023-04-12 00:00:00,81.34
baling,78,53.48,2023-02-27 00:00:00,74.94
dispatch,17,71.44,2023-12-11 00:00:00,76.05
baling,33,70.6,2023-04-21 00:00:00,83.91
baling,36,78.47,2023-10-17 00:00:00,78.04
baling,42,73.78,2024-03-23 00:00:00,70.1
dispatch,74,55.76,2023-10-29 00:00:00,77.57
segregation,76,74.7,2023-11-28 00:00:00,99.8
baling,10,56.49,2023-10-09 00:00:00,79.98
segregation,26,69.42,2023-01-06 00:00:00,71.94
inward,11,66.75,2023-08-25 00:00:00,73.77
dispatch,16,99.15,2023-09-27 00:00:00,83.84
inward,47,60.62,2023-05-27 00:00:00,92.3
dispatch,35,53.89,2023-09-12 00:00:00,72.49
segregation,17,50.35,2023-04-06 00:00:00,86.59
segregation,75,57.12,2023-04-29 00:00:00,91.69
inward,52,79.74,2023-04-21 00:00:00,83.86
inward,45,89.08,2023-09-18 00:00:00,73.98
baling,21,69.77,2023-07-01 00:00:00,81.72
segregation,31,79.12,2023-01-01 00:00:00,81.27
inward,96,54.87,2023-08-14 00:00:00,97.54
dispatch,38,65.11,2023-03-04 00:00:00,78.07
baling,4,86.33,2023-07-24 00:00:00,73.74
segregation,95,70.88,2023-03-28 00:00:00,92.96
inward,34,69.99,2024-02-27 00:00:00,99.28
inward,96,98.53,2023-03-02 00:00:00,71.37
inward,91,71.94,2023-10-07 00:00:00,71.44
baling,8,72.96,2023-08-12 00:00:00,93.52
dispatch,30,87.06,2023-07-11 00:00:00,74.36
dispatch,25,87.26,2024-03-08 00:00:00,87.52
dispatch,32,61.71,2023-11-18 00:00:00,84.15
segregation,42,61.41,2023-07-27 00:00:00,71.21
dispatch,50,65.38,2024-03-13 00:00:00,77.09
segregation,37,90.68,2024-02-15 00:00:00,81.58
inward,43,86.26,2023-01-12 00:00:00,84.76
baling,34,72.72,2023-11-11 00:00:00,85.21
dispatch,92,66.01,2023-11-02 00:00:00,85
dispatch,14,61.93,2023-01-22 00:00:00,73.67
inward,62,53.36,2023-01-30 00:00:00,70.94
inward,95,62.3,2023-06-26 00:00:00,81.18
baling,59,85.91,2024-01-31 00:00:00,98.03
dispatch,96,96.85,2024-01-28 00:00:00,74.4
segregation,65,87.62,2024-01-04 00:00:00,88.65
dispatch,86,84.28,2023-12-31 00:00:00,75.23
baling,16,58.86,2023-06-07 00:00:00,84.73
dispatch,81,51.22,2023-08-21 00:00:00,80.8
segregation,68,61.29,2024-02-09 00:00:00,70.76
dispatch,29,96.69,2023-12-31 00:00:00,74.34
baling,78,65.82,2023-03-30 00:00:00,82.6
inward,14,93.92,2023-04-09 00:00:00,98.01
inward,35,75.88,2023-02-12 00:00:00,76.78
dispatch,54,90.79,2023-02-14 00:00:00,74.23
dispatch,29,94.96,2023-04-13 00:00:00,99.21
segregation,89,75.58,2023-10-08 00:00:00,79.44
inward,58,97.11,2023-03-18 00:00:00,82.7
baling,9,84.33,2023-12-08 00:00:00,85.49
baling,86,68.98,2023-06-13 00:00:00,81.8
inward,45,58.13,2023-05-11 00:00:00,88.82
baling,59,71.64,2023-12-20 00:00:00,82.5
dispatch,46,96.03,2023-11-14 00:00:00,75.45
dispatch,49,84.92,2024-03-26 00:00:00,80.35
inward,25,94.28,2024-03-07 00:00:00,92.43
dispatch,74,76.32,2023-11-14 00:00:00,70.75
dispatch,70,68.09,2023-02-11 00:00:00,75.15
baling,68,67.91,2023-04-02 00:00:00,79.18
segregation,32,89.95,2023-08-31 00:00:00,80.18
dispatch,85,63.42,2023-03-07 00:00:00,97.42
inward,99,67.86,2024-02-14 00:00:00,78.33
inward,2,97.07,2024-02-18 00:00:00,94.27
baling,47,97.75,2024-03-19 00:00:00,87.84
segregation,51,53.2,2023-04-22 00:00:00,96.05
baling,62,75.38,2023-06-22 00:00:00,70.21
segregation,28,55.49,2023-04-07 00:00:00,91.79
segregation,60,51.53,2023-01-17 00:00:00,99.38
baling,61,51.46,2023-08-20 00:00:00,79.11
segregation,44,97.19,2023-10-05 00:00:00,84.36
baling,25,88.71,2024-03-21 00:00:00,88.6
inward,29,98.32,2023-04-22 00:00:00,86.45
dispatch,44,84.61,2023-12-24 00:00:00,91.65
baling,17,63.46,2023-12-18 00:00:00,85.05
baling,95,55.29,2023-02-20 00:00:00,84.63
segregation,21,98.66,2023-02-01 00:00:00,98.95
inward,71,99.89,2024-01-28 00:00:00,73.41
inward,16,53.69,2023-01-27 00:00:00,82.5
baling,39,51.61,2023-04-03 00:00:00,79.57
segregation,58,52.42,2023-03-19 00:00:00,73.04
baling,67,89.38,2023-10-29 00:00:00,76.65
baling,91,70.98,2024-01-23 00:00:00,87.39
baling,6,95.46,2023-04-21 00:00:00,76.98
dispatch,74,76.06,2023-08-30 00:00:00,97.09
inward,7,97.92,2023-02-12 00:00:00,85.61
segregation,3,95.89,2023-05-15 00:00:00,95.04
dispatch,21,91.39,2023-03-21 00:00:00,71.41
inward,44,82.97,2023-03-01 00:00:00,93.71
segregation,64,97.87,2023-08-16 00:00:00,76.18
dispatch,6,94.8,2023-10-30 00:00:00,78.19
segregation,53,94.05,2024-02-29 00:00:00,88.38
baling,54,60.39,2023-04-22 00:00:00,78.29
inward,73,77.63,2023-11-14 00:00:00,88.54
inward,44,67.21,2023-08-14 00:00:00,70.15
dispatch,65,53.57,2023-05-04 00:00:00,92.28
inward,5,74.49,2024-02-24 00:00:00,76.16
dispatch,47,76.75,2023-11-07 00:00:00,80.62
dispatch,11,52.31,2023-08-25 00:00:00,83.72
inward,68,68.49,2023-03-10 00:00:00,99.08
dispatch,83,54.85,2023-04-14 00:00:00,98.34
baling,70,56.14,2023-09-06 00:00:00,73.35
baling,8,53.96,2023-05-01 00:00:00,71.77
segregation,80,68.69,2024-01-09 00:00:00,73.11
baling,93,90.53,2023-04-01 00:00:00,80.36
inward,16,60.38,2023-04-07 00:00:00,76.87
segregation,82,72.61,2024-02-05 00:00:00,95.51
dispatch,69,89.95,2023-09-14 00:00:00,85.45
segregation,26,55.03,2024-03-23 00:00:00,85.84
segregation,35,96.93,2023-05-23 00:00:00,81.98
baling,50,90.99,2023-02-09 00:00:00,93.86
baling,87,90.58,2023-05-22 00:00:00,92.95
inward,33,67.07,2023-02-12 00:00:00,91.37
segregation,32,87.34,2023-04-03 00:00:00,94.32
inward,56,50.51,2023-11-17 00:00:00,97.06
baling,5,62.67,2024-03-09 00:00:00,85.65
baling,46,95.92,2023-03-07 00:00:00,80.6
dispatch,22,65.38,2023-11-12 00:00:00,86.51
baling,43,75.02,2024-01-11 00:00:00,70.4
baling,15,60.17,2023-09-20 00:00:00,81.84
baling,55,57.5,2024-03-06 00:00:00,94.86
segregation,82,53.13,2024-02-10 00:00:00,87.33
segregation,60,60.67,2023-03-25 00:00:00,99.89
inward,21,51.5,2023-08-19 00:00:00,76.12
baling,60,80.11,2023-12-20 00:00:00,92.21
baling,56,69.24,2023-04-24 00:00:00,85.29
dispatch,55,64.5,2023-09-17 00:00:00,94.65
baling,58,92.09,2023-09-25 00:00:00,78.27
baling,25,62.37,2024-01-23 00:00:00,80.39
baling,15,53.94,2023-01-21 00:00:00,80.6
inward,31,53.71,2024-03-07 00:00:00,92.79
inward,88,54.35,2023-02-22 00:00:00,78.42
inward,65,88.38,2023-09-26 00:00:00,95.43
inward,93,72.26,2023-03-19 00:00:00,89.89
baling,73,67.72,2023-02-14 00:00:00,76.9
segregation,9,91.59,2024-03-07 00:00:00,95.12
baling,96,73.77,2023-09-27 00:00:00,83.04
baling,60,67.06,2023-02-17 00:00:00,73.02
inward,17,77.28,2023-03-31 00:00:00,83.36
inward,40,74.95,2023-08-25 00:00:00,70.06
baling,29,60.28,2023-03-27 00:00:00,78.95
inward,83,78.48,2023-09-18 00:00:00,76.99
segregation,70,93.18,2023-12-05 00:00:00,85.33
dispatch,75,55.17,2023-11-25 00:00:00,76.86
baling,20,87.42,2023-09-25 00:00:00,86.01
inward,41,52.33,2024-03-21 00:00:00,84.36
inward,86,74.83,2023-04-09 00:00:00,97.73
inward,44,67.14,2023-02-21 00:00:00,96.03
dispatch,11,84.79,2023-12-22 00:00:00,83.66
segregation,55,68.01,2023-02-27 00:00:00,98.2
segregation,64,60.15,2024-01-22 00:00:00,84.39
segregation,48,82.74,2024-02-19 00:00:00,79.78
baling,25,95.94,2023-08-16 00:00:00,94.81
dispatch,71,62.56,2023-01-27 00:00:00,82.92
dispatch,36,66.93,2023-04-30 00:00:00,93.46
dispatch,33,60.06,2024-01-12 00:00:00,93.54
baling,28,50.65,2024-01-03 00:00:00,76.33
baling,70,87.48,2023-07-09 00:00:00,95.3
segregation,31,73.22,2024-02-04 00:00:00,78.97
inward,37,51.62,2023-12-07 00:00:00,91.74
dispatch,78,83.37,2023-01-11 00:00:00,96
inward,60,95.51,2023-02-20 00:00:00,89.35
inward,39,84.52,2023-01-26 00:00:00,78.94
inward,42,77.85,2023-04-20 00:00:00,95.64
inward,7,95.02,2023-03-22 00:00:00,81.02
inward,7,77.72,2023-12-03 00:00:00,74.49
baling,39,98.71,2024-02-14 00:00:00,91.63
dispatch,77,68.1,2024-01-09 00:00:00,97.22
segregation,66,56.66,2023-09-07 00:00:00,87.09
baling,28,83.51,2023-01-14 00:00:00,92.36
baling,51,72.31,2023-06-11 00:00:00,84.51
dispatch,77,74.66,2023-09-25 00:00:00,83.77
baling,14,84.36,2023-10-15 00:00:00,88.91
segregation,22,73.38,2023-04-29 00:00:00,85.13
dispatch,72,63.32,2023-06-19 00:00:00,99.61
inward,74,68.23,2023-01-17 00:00:00,91.68
baling,26,95.1,2023-04-09 00:00:00,88.6
baling,93,65.08,2023-01-07 00:00:00,80.33
dispatch,93,98.72,2023-10-05 00:00:00,79.68
dispatch,28,75.9,2023-06-29 00:00:00,74.5
segregation,87,66.3,2023-10-02 00:00:00,83.21
inward,48,66.07,2024-02-02 00:00:00,76.62
dispatch,16,77.5,2023-02-17 00:00:00,94.75
baling,17,63.23,2023-09-30 00:00:00,75.24
segregation,27,56.69,2023-02-17 00:00:00,72.32
baling,97,98.13,2023-05-08 00:00:00,90.26
baling,75,60.62,2023-11-24 00:00:00,85.66
baling,90,92.59,2023-01-15 00:00:00,80.06
inward,43,99.29,2023-04-20 00:00:00,75.25
segregation,96,60.71,2023-06-29 00:00:00,87.05
dispatch,81,73.08,2023-09-13 00:00:00,90.4
baling,7,95.55,2023-06-19 00:00:00,75.85
inward,17,95.84,2023-07-30 00:00:00,97.84
inward,63,84.11,2023-05-16 00:00:00,82.62
dispatch,87,87.35,2023-06-20 00:00:00,82.1
dispatch,93,80.56,2023-10-26 00:00:00,96.09
baling,63,65.68,2024-03-01 00:00:00,84.89
baling,86,70.34,2023-05-14 00:00:00,95.37
inward,91,70.08,2023-04-14 00:00:00,96.76
inward,48,69.6,2023-09-18 00:00:00,99.69
dispatch,75,54.8,2023-05-22 00:00:00,92.68
baling,37,78.74,2023-01-25 00:00:00,93.31
dispatch,83,65.01,2023-10-27 00:00:00,83.32
segregation,9,63.56,2024-01-13 00:00:00,70.4
segregation,64,67.27,2023-12-23 00:00:00,76.7
dispatch,35,94.61,2023-01-28 00:00:00,97.44
dispatch,63,88.21,2023-04-05 00:00:00,75.35
baling,5,99.97,2023-02-08 00:00:00,85.52
baling,67,95.89,2023-10-19 00:00:00,98.83
baling,56,57.39,2023-07-22 00:00:00,95.02
baling,23,82.02,2023-07-28 00:00:00,93.15
dispatch,50,52.01,2023-11-19 00:00:00,97.78
segregation,67,97.24,2023-03-11 00:00:00,88.76
baling,42,75.43,2023-10-22 00:00:00,71.13
segregation,85,54.52,2023-10-10 00:00:00,94.91
inward,26,96.52,2023-01-29 00:00:00,94.36
baling,100,89.76,2023-12-24 00:00:00,82.13
inward,38,61.45,2023-07-15 00:00:00,97.01
segregation,62,87.57,2023-01-08 00:00:00,90.37
segregation,100,92.51,2023-01-01 00:00:00,91.61
dispatch,53,93.83,2023-12-26 00:00:00,78.63
dispatch,22,77.82,2023-05-13 00:00:00,85.36
inward,11,60.91,2023-03-21 00:00:00,86.78
segregation,19,57.86,2023-07-28 00:00:00,85.18
baling,68,89.3,2023-03-19 00:00:00,94.02
inward,22,61.39,2023-08-13 00:00:00,98.77
baling,68,59.01,2023-11-24 00:00:00,93.49
segregation,40,95.04,2023-05-15 00:00:00,90.44
segregation,82,53.46,2023-06-20 00:00:00,85.43
segregation,96,80.92,2023-09-11 00:00:00,92.12
baling,19,79.63,2023-08-27 00:00:00,97.3
